time,measurement,field,value,result,table,agent,level,metric,host,metric_type,datacenter,source,project
2025-09-04 06:03:49.057240+00:00,agent_metrics,tasks_completed,15,_result,0,code_generator,,,,,,,
2025-09-04 06:03:49.057240+00:00,performance_metrics,value,78.5,_result,3,,,,agent-system,memory,,,
2025-09-04 06:03:49.057240+00:00,test_metrics,coverage,76.8,_result,42,,,,,,,,agent-lightning
2025-09-04 06:03:49.057240+00:00,alerts,message,High CPU usage,_result,1,,warning,cpu,,,,,
2025-09-04 06:03:49.057240+00:00,performance_metrics,value,45.2,_result,2,,,,agent-system,cpu,,,
2025-09-04 06:12:23.764843+00:00,test_metric,value,42.0,_result,41,,,,,,,pipeline_test,
2025-09-04 06:12:23.764843+00:00,test_metric,status,testing,_result,40,,,,,,,pipeline_test,
2025-09-04 06:12:23.764849+00:00,test_metric,status,validating,_result,40,,,,,,,pipeline_test,
2025-09-04 06:12:23.764849+00:00,test_metric,value,84.0,_result,41,,,,,,,pipeline_test,
2025-09-04 16:09:29.046290+00:00,system_metrics,network_in,7250.59158686046,_result,7,,,,server-1,,dc-1,,
2025-09-04 16:09:29.046290+00:00,system_metrics,network_out,1750.831218019751,_result,8,,,,server-1,,dc-1,,
2025-09-04 16:09:29.046290+00:00,system_metrics,temperature,76.39248302603498,_result,9,,,,server-1,,dc-1,,
2025-09-04 16:09:29.046290+00:00,system_metrics,memory_usage,61.75953719469509,_result,6,,,,server-1,,dc-1,,
2025-09-04 16:09:29.046290+00:00,system_metrics,disk_io,667.1233756572761,_result,5,,,,server-1,,dc-1,,
2025-09-04 16:09:29.046290+00:00,system_metrics,cpu_usage,68.53568743707547,_result,4,,,,server-1,,dc-1,,
2025-09-04 16:09:34.046290+00:00,system_metrics,temperature,77.73646976347467,_result,33,,,,server-2,,dc-2,,
2025-09-04 16:09:34.046290+00:00,system_metrics,disk_io,320.58185871963155,_result,29,,,,server-2,,dc-2,,
2025-09-04 16:09:34.046290+00:00,system_metrics,network_out,3166.2530638342096,_result,32,,,,server-2,,dc-2,,
2025-09-04 16:09:34.046290+00:00,system_metrics,memory_usage,56.34271860223569,_result,30,,,,server-2,,dc-2,,
2025-09-04 16:09:34.046290+00:00,system_metrics,network_in,9451.667290595544,_result,31,,,,server-2,,dc-2,,
2025-09-04 16:09:34.046290+00:00,system_metrics,cpu_usage,38.94383055858307,_result,28,,,,server-2,,dc-2,,
2025-09-04 16:09:39.046290+00:00,system_metrics,network_out,1965.9492944208932,_result,20,,,,server-3,,dc-1,,
2025-09-04 16:09:39.046290+00:00,system_metrics,temperature,60.332443895277315,_result,21,,,,server-3,,dc-1,,
2025-09-04 16:09:39.046290+00:00,system_metrics,network_in,1510.3889435419103,_result,19,,,,server-3,,dc-1,,
2025-09-04 16:09:39.046290+00:00,system_metrics,memory_usage,42.311188654978224,_result,18,,,,server-3,,dc-1,,
2025-09-04 16:09:39.046290+00:00,system_metrics,disk_io,416.96653553268277,_result,17,,,,server-3,,dc-1,,
2025-09-04 16:09:39.046290+00:00,system_metrics,cpu_usage,22.327776240776608,_result,16,,,,server-3,,dc-1,,
2025-09-04 16:09:44.046290+00:00,system_metrics,temperature,78.84660482089274,_result,27,,,,server-1,,dc-2,,
2025-09-04 16:09:44.046290+00:00,system_metrics,network_in,5404.208658150703,_result,25,,,,server-1,,dc-2,,
2025-09-04 16:09:44.046290+00:00,system_metrics,network_out,2668.2451758704965,_result,26,,,,server-1,,dc-2,,
2025-09-04 16:09:44.046290+00:00,system_metrics,disk_io,885.4962085660006,_result,23,,,,server-1,,dc-2,,
2025-09-04 16:09:44.046290+00:00,system_metrics,memory_usage,52.309138551663935,_result,24,,,,server-1,,dc-2,,
2025-09-04 16:09:44.046290+00:00,system_metrics,cpu_usage,73.0252293494804,_result,22,,,,server-1,,dc-2,,
2025-09-04 16:09:49.046290+00:00,system_metrics,memory_usage,51.320601383895294,_result,12,,,,server-2,,dc-1,,
